nome,imagem,imagem2,codigo,medidas,categoria
Coluna Torre 2 Furos | Polida,,,T1002P12,100cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Polida,,,T1002P16,100cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,assets/produtos/coluna-torre-2furos/2furos-escovada.png,assets/produtos/coluna-torre-2furos/2furos-escovada-segunda.jpg,T302E10,30cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 2 Furos | Escovada,,,T302E12,30cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T302E16,30cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,,,T402E10,40cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Escovada,,,T402E12,40cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T402E16,40cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,,,T502E10,50cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Escovada,,,T502E12,50cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T502E16,50cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,,,T602E10,60cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Escovada,,,T602E12,60cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T602E16,60cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,,,T702E10,70cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Escovada,,,T702E12,70cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T702E16,70cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,,,T802E10,80cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Escovada,,,T802E12,80cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T802E16,80cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,,,T902E10,90cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Escovada,,,T902E12,90cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T902E16,90cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Escovada,,,T1002E10,100cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Escovada,,,T1002E12,100cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Escovada,,,T1002E16,100cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,assets/produtos/coluna-torre-2furos/2furos-preta.png,assets/produtos/coluna-torre-2furos/2furos-preta-segunda.jpg,T302PR10,30cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 2 Furos | Preta,,,T302PR12,30cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T302PR16,30cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,,,T402PR10,40cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Preta,,,T402PR12,40cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T402PR16,40cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,,,T502PR10,50cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Preta,,,T502PR12,50cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T502PR16,50cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,,,T602PR10,60cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Preta,,,T602PR12,60cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T602PR16,60cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,,,T702PR10,70cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Preta,,,T702PR12,70cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T702PR16,70cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,,,T802PR10,80cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Preta,,,T802PR12,80cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T802PR16,80cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,,,T902PR10,90cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Preta,,,T902PR12,90cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T902PR16,90cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Preta,,,T1002PR10,100cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Preta,,,T1002PR12,100cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Preta,,,T1002PR16,100cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,assets/produtos/coluna-torre-2furos/2furos-branca.png,assets/produtos/coluna-torre-2furos/2furos-branca-segunda.jpg,T302BR10,30cm | p/ Vidro de 10mm,Coluna Torre
Coluna Torre 2 Furos | Branca,,,T302BR12,30cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T302BR16,30cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,,,T402BR10,40cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Branca,,,T402BR12,40cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T402BR16,40cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,,,T502BR10,50cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Branca,,,T502BR12,50cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T502BR16,50cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,,,T602BR10,60cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Branca,,,T602BR12,60cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T602BR16,60cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,,,T702BR10,70cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Branca,,,T702BR12,70cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T702BR16,70cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,,,T802BR10,80cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Branca,,,T802BR12,80cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T802BR16,80cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,,,T902BR10,90cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Branca,,,T902BR12,90cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T902BR16,90cm | p/ Vidro de 16mm,
Coluna Torre 2 Furos | Branca,,,T1002BR10,100cm | p/ Vidro de 10mm,
Coluna Torre 2 Furos | Branca,,,T1002BR12,100cm | p/ Vidro de 12mm,
Coluna Torre 2 Furos | Branca,,,T1002BR16,100cm | p/ Vidro de 16mm,
Puxador Retangulo | Polido,assets/produtos/puxador-retangulo/puxador-retangulo-polido.png,assets/produtos/puxador-retangulo/puxador-retangulo-polido-segunda.jpg,P30P,30cm | 20cm entre furos,Puxadores
Puxador Retangulo | Polido,,,P40P,40cm | 30cm entre furos,
Puxador Retangulo | Polido,,,P50P,50cm | 30cm entre furos,
Puxador Retangulo | Polido,,,P60P,60cm | 40cm entre furos,
Puxador Retangulo | Polido,,,P70P,70cm | 50cm entre furos,
Puxador Retangulo | Polido,,,P80P,80cm | 60cm entre furos,
Puxador Retangulo | Polido,,,P90P,90cm | 70cm entre furos,
Puxador Retangulo | Polido,,,P100P,100cm | 80cm entre furos,
Puxador Retangulo | Polido,,,P120P,120cm | 90cm entre furos,
Puxador Retangulo | Polido,,,P150P,150cm | 100cm entre furos,
Puxador Retangulo | Polido,,,P180P,180cm | 100cm entre furos,
Puxador Retangulo | Polido,,,P200P,200cm | 120cm entre furos,
Puxador Retangulo | Escovado,assets/produtos/puxador-retangulo/puxador-retangulo-escovado.png,assets/produtos/puxador-retangulo/puxador-retangulo-escovado-segunda.jpg,P30E,30cm | 20cm entre furos,Puxadores
Puxador Retangulo | Escovado,,,P40E,40cm | 30cm entre furos,
Puxador Retangulo | Escovado,,,P50E,50cm | 30cm entre furos,
Puxador Retangulo | Escovado,,,P60E,60cm | 40cm entre furos,
Puxador Retangulo | Escovado,,,P70E,70cm | 50cm entre furos,
Puxador Retangulo | Escovado,,,P80E,80cm | 60cm entre furos,
Puxador Retangulo | Escovado,,,P90E,90cm | 70cm entre furos,
Puxador Retangulo | Escovado,,,P100E,100cm | 80cm entre furos,
Puxador Retangulo | Escovado,,,P120E,120cm | 90cm entre furos,
Puxador Retangulo | Escovado,,,P150E,150cm | 100cm entre furos,
Puxador Retangulo | Escovado,,,P180E,180cm | 100cm entre furos,
Puxador Retangulo | Escovado,,,P200E,200cm | 120cm entre furos,
Puxador Retangulo | Preto,assets/produtos/puxador-retangulo/puxador-retangulo-preto.png,assets/produtos/puxador-retangulo/puxador-retangulo-preto-segunda.jpg,P30PR,30cm | 20cm entre furos,Puxadores
Puxador Retangulo | Preto,,,P40PR,40cm | 30cm entre furos,
Puxador Retangulo | Preto,,,P50PR,50cm | 30cm entre furos,
Puxador Retangulo | Preto,,,P60PR,60cm | 40cm entre furos,
Puxador Retangulo | Preto,,,P70PR,70cm | 50cm entre furos,
Puxador Retangulo | Preto,,,P80PR,80cm | 60cm entre furos,
Puxador Retangulo | Preto,,,P90PR,90cm | 70cm entre furos,
Puxador Retangulo | Preto,,,P100PR,100cm | 80cm entre furos,
Puxador Retangulo | Preto,,,P120PR,120cm | 90cm entre furos,
Puxador Retangulo | Preto,,,P150PR,150cm | 100cm entre furos,
Puxador Retangulo | Preto,,,P180PR,180cm | 100cm entre furos,
Puxador Retangulo | Preto,,,P200PR,200cm | 120cm entre furos,
